episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
80,1.0,0.32252369655777824,2.691134307160359,-84.01580267409055,17.721445340209833,1.5,[17.721445340209833, 1.5],0.0,False,True,0.6066213530435873,1,23.11822180235112,543.175,prepare,0.0
80,2.0,0.32249722469909375,2.6913729172740894,-84.00607495570648,-20.0,3.0,[-20.0, 3.0],10.0,False,True,0.6055829085685207,1,23.11822180235112,543.248,in_progress,0.0
80,3.0,0.32654471661937207,2.6827153581474077,-83.18955464296563,4.348150800710684,1.9573957793256753,[4.348150800710684, 1.9573957793256753],10.0,False,True,0.6446554609631046,1,23.11822180235112,543.323,in_progress,0.0
80,4.0,0.33328890138684075,2.6584484778129935,-82.18471671892672,15.58814774965684,2.9127506172947335,[15.58814774965684, 2.9127506172947335],10.0,False,True,0.7531930282141858,1,23.11822180235112,543.38,in_progress,0.0
80,5.0,0.3412509857225377,2.619565134595714,-81.54970758971788,25.0,2.7014091038678627,[25.0, 2.7014091038678627],7.0,False,True,0.9245625862311516,1,23.11822180235112,543.449,in_progress,0.0
80,6.0,0.364827296186199,2.5737292838674786,-77.70830618966895,12.675192122742246,1.5,[12.675192122742246, 1.5],10.0,False,True,1.1352301638559397,2,23.11822180235112,543.516,in_progress,0.0
80,7.0,0.4086593181012633,2.5054498285593496,-71.56206355909048,25.0,1.5,[25.0, 1.5],7.0,False,True,1.4656892456793233,2,23.11822180235112,543.582,in_progress,0.0
80,8.0,0.44195087759671087,2.45907763800566,-67.68075223683013,25.0,1.5,[25.0, 1.5],7.0,False,True,1.6894561444091956,3,23.11822180235112,543.657,in_progress,0.0
80,9.0,0.523111521629222,2.3837246626281776,-57.786432908514534,10.23547483619243,1.5,[10.23547483619243, 1.5],10.0,False,True,2.100417646668084,3,23.11822180235112,543.721,in_progress,0.0
80,10.0,0.6027047225070388,2.3224832746051804,-50.25994642198701,9.934022353871644,2.2442669508701734,[9.934022353871644, 2.2442669508701734],10.0,False,True,2.4358462382382684,4,23.11822180235112,543.773,in_progress,0.0
80,11.0,0.6637635950820054,2.2780666625163293,-46.09446178315926,-20.0,2.321873141806851,[-20.0, 2.321873141806851],10.0,False,True,2.722719360719148,4,23.11822180235112,543.845,in_progress,0.0
80,12.0,0.7516402431317439,2.2103901700438775,-42.74669150846122,11.856611051687075,2.550468331774156,[11.856611051687075, 2.550468331774156],10.0,False,True,3.104022632470689,5,23.11822180235112,543.923,in_progress,0.0
80,13.0,0.8740315927033322,2.117973167855784,-39.58033427677826,8.35962452092739,2.875551188325307,[8.35962452092739, 2.875551188325307],10.0,False,True,3.7230265793675366,6,23.11822180235112,543.99,in_progress,0.0
80,14.0,0.9890307216120151,2.051251529481876,-35.08944604610064,25.0,1.5,[25.0, 1.5],7.0,False,False,4.316702879438688,7,23.11822180235112,544.053,in_progress,0.0
80,15.0,1.10802382130653,1.9960897339977863,-29.6736059510493,14.932656451039058,1.94700738040215,[14.932656451039058, 1.94700738040215],10.0,False,False,4.954291451389476,8,23.11822180235112,544.12,in_progress,0.0
80,16.0,1.227251930356778,1.95039674997136,-25.377372891960874,25.0,1.7075315821526689,[25.0, 1.7075315821526689],7.0,False,False,5.642568975500046,9,23.11822180235112,544.188,in_progress,0.0
80,17.0,1.366369115331615,1.908889087688234,-20.99771063722359,25.0,2.2809138334195653,[25.0, 2.2809138334195653],7.0,True,False,8.869353577808676,14,23.11822180235112,544.255,off_track,0.0
81,1.0,0.6602469982073746,1.5938910893737956,-62.61982130982317,25.0,1.5,[25.0, 1.5],0.0,False,True,0.6054897048792606,9,23.11822180235112,544.381,prepare,0.0
81,2.0,0.6601201155556613,1.5942591513461568,-62.5941797186554,16.75249241444893,1.642979370030539,[16.75249241444893, 1.642979370030539],10.0,False,True,0.6038547915461316,9,23.11822180235112,544.448,in_progress,0.0
81,3.0,0.6665033769800782,1.5857811419668988,-62.25680307366574,-19.54855604050029,3.0,[-19.54855604050029, 3.0],10.0,False,True,0.6496430793920545,9,23.11822180235112,544.511,in_progress,0.0
81,4.0,0.6816153939204872,1.5595233572939153,-62.1425514558267,20.03544696709367,3.0,[20.03544696709367, 3.0],7.0,False,True,0.7805147796985358,9,23.11822180235112,544.586,in_progress,0.0
81,5.0,0.700774897206683,1.528610395017223,-61.55754865414749,25.0,3.0,[25.0, 3.0],7.0,False,True,0.9320596253760138,9,23.11822180235112,544.656,in_progress,0.0
81,6.0,0.7449289186312164,1.4902659650433179,-56.846221418159836,24.557710528939538,2.628619049917316,[24.557710528939538, 2.628619049917316],7.0,False,True,1.1819181384218411,9,23.11822180235112,544.724,in_progress,0.0
81,7.0,0.8069665504615906,1.45394860052416,-49.585528794446226,25.0,2.862993806683981,[25.0, 2.862993806683981],7.0,False,True,1.4748382549023054,10,23.11822180235112,544.782,in_progress,0.0
81,8.0,0.8799581146821263,1.4219654588693742,-41.74255150520723,1.1423208540584717,1.7728094391749376,[1.1423208540584717, 1.7728094391749376],10.0,False,True,1.8227672245463942,10,23.11822180235112,544.85,in_progress,0.0
81,9.0,0.9621990393328855,1.3889072167934313,-34.62805292895427,15.981336072529764,3.0,[15.981336072529764, 3.0],10.0,False,True,2.2479572167254824,11,23.11822180235112,544.914,in_progress,0.0
81,10.0,1.0555196785023615,1.3458101222367373,-30.611478879616744,25.0,3.0,[25.0, 3.0],7.0,False,True,2.6913474868796126,12,23.11822180235112,544.983,in_progress,0.0
