episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
160,1.0,0.3224635585316283,2.691258067169616,-84.01666074996166,-0.9609584670833087,2.915971972960621,[-0.9609584670833087, 2.915971972960621],0.0,False,True,0.6060617805769145,1,23.11822180235112,1113.222,prepare,0.0
160,2.0,0.32249722469909803,2.6913729172740486,-84.00607495570647,25.0,1.5,[25.0, 1.5],7.0,False,True,0.6055829085685207,1,23.11822180235112,1113.3,in_progress,0.0
160,3.0,0.3257373211767326,2.6786990608452563,-83.63581099317548,-5.206283443104299,1.932314224099693,[-5.206283443104299, 1.932314224099693],10.0,False,True,0.661866127407489,1,23.11822180235112,1113.359,in_progress,0.0
160,4.0,0.32795380287378834,2.653000268945138,-83.88368961123032,-11.59659238117246,2.1747330711232866,[-11.59659238117246, 2.1747330711232866],10.0,False,True,0.773269765341335,1,23.11822180235112,1113.444,in_progress,0.0
160,5.0,0.32289479893875744,2.6105034867934274,-86.13296292856576,6.218056937373369,1.5,[6.218056937373369, 1.5],10.0,False,True,0.9521703670692703,1,23.11822180235112,1113.508,in_progress,0.0
160,6.0,0.3236093652206013,2.5592685958033075,-86.79662619158368,-20.0,3.0,[-20.0, 3.0],10.0,False,True,1.1720126681575243,2,23.11822180235112,1113.563,in_progress,0.0
160,7.0,0.32808250626698543,2.4972526753578452,-86.6202052707616,0.7038044277650997,1.6323875761228979,[0.7038044277650997, 1.6323875761228979],10.0,False,True,1.4360507511568934,2,23.11822180235112,1113.628,in_progress,0.0
160,8.0,0.3292455359008463,2.405393636703424,-87.52719241540676,8.424841248384695,2.3856077295781186,[8.424841248384695, 2.3856077295781186],10.0,False,True,1.8274667166227898,3,23.11822180235112,1113.703,in_progress,0.0
160,9.0,0.34207738947113125,2.3256261214095555,-85.45292176963456,25.0,1.5,[25.0, 1.5],7.0,False,True,2.1695336393116946,3,23.11822180235112,1113.76,in_progress,0.0
160,10.0,0.3650073362062176,2.2312304509071614,-82.1856786448896,25.0,1.5411813106081838,[25.0, 1.5411813106081838],7.0,False,True,2.5896951822487866,4,23.11822180235112,1113.838,in_progress,0.0
160,11.0,0.4069168127987585,2.1235808076641716,-76.57232790212822,15.59002306178079,1.5,[15.59002306178079, 1.5],10.0,False,True,3.079976048164558,5,23.11822180235112,1113.901,in_progress,0.0
160,12.0,0.4515907538090615,2.0384680881080004,-71.52944078486516,25.0,1.91676551451492,[25.0, 1.91676551451492],7.0,False,True,3.483584120419832,5,23.11822180235112,1113.977,in_progress,0.0
