episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
0,1.0,0.32250865273371204,2.6912299815217375,-84.00700815657275,-3.049573265016079,2.06915383040905,[-3.049573265016079, 2.06915383040905],0.0,False,True,0.606202972126144,1,23.11822180235112,9.682,prepare,0.0
0,2.0,0.32249722469909003,2.691372917274125,-84.00607495570645,-10.315836071968079,2.354399621486664,[-10.315836071968079, 2.354399621486664],1.0,False,True,0.6055829085685216,1,23.11822180235112,9.745,in_progress,0.0
0,3.0,0.3251898903200733,2.680037092495327,-83.60964272040802,5.318581908941269,1.9274757131934166,[5.318581908941269, 1.9274757131934166],1.0,False,True,0.6558022508904124,1,23.11822180235112,9.816,in_progress,0.0
0,4.0,0.3297648483417114,2.6506788586062524,-83.31149068332391,8.419612497091293,2.0403526723384857,[8.419612497091293, 2.0403526723384857],1.0,False,True,0.7843156459600552,1,23.11822180235112,9.881,in_progress,0.0
0,5.0,0.34129636237650646,2.6113437083233086,-81.63531499243291,6.323260627686977,2.2954273521900177,[6.323260627686977, 2.2954273521900177],1.0,False,True,0.9597973991419179,1,23.11822180235112,9.946,in_progress,0.0
0,6.0,0.35599068148799246,2.5569073044804616,-80.08529027116602,12.479481175541878,1.900818020105362,[12.479481175541878, 1.900818020105362],1.0,False,True,1.20187755111775,2,23.11822180235112,10.013,in_progress,0.0
0,7.0,0.38317376769072287,2.4834114948396175,-76.98252095406487,16.065623462200165,2.234232559800148,[16.065623462200165, 2.234232559800148],1.0,False,True,1.5389768425151191,2,23.11822180235112,10.081,in_progress,0.0
0,8.0,0.4206673960840033,2.4030501143010197,-72.92052991316207,17.384357005357742,1.5292460322380066,[17.384357005357742, 1.5292460322380066],1.0,False,True,1.9105918189626623,3,23.11822180235112,10.149000000000001,in_progress,0.0
0,9.0,0.4769045689174855,2.3158334789095214,-66.90352033587428,22.244073152542114,1.5960803925991058,[22.244073152542114, 1.5960803925991058],1.0,False,True,2.341726595530858,4,23.11822180235112,10.215,in_progress,0.0
0,10.0,0.5403356091114445,2.235186153849408,-61.16637742229681,25.0,2.3800432980060577,[25.0, 2.3800432980060577],0.5,False,True,2.763398855285088,4,23.11822180235112,10.281,in_progress,0.0
